@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,232,0,136,0,1,1,0.630435,1,0.369565,0.773333,1,1,0.000021
1,232,0,135,1,0.992647,1,0.632153,1,0.367847,0.774624,0.997283,1.002725,0.000033
2,232,0,134,2,0.985294,1,0.63388,1,0.36612,0.77592,0.994565,1.005464,0.000041
3,232,0,133,3,0.977941,1,0.635616,1,0.364384,0.777219,0.991848,1.008219,0.000046
4,232,0,132,4,0.970588,1,0.637363,1,0.362637,0.778523,0.98913,1.010989,0.000049
5,232,0,131,5,0.963235,1,0.639118,1,0.360882,0.779832,0.986413,1.013774,0.00006
6,232,0,130,6,0.955882,1,0.640884,1,0.359116,0.781145,0.983696,1.016575,0.000095
7,232,0,129,7,0.948529,1,0.642659,1,0.357341,0.782462,0.980978,1.019391,0.00011
8,232,0,128,8,0.941176,1,0.644444,1,0.355556,0.783784,0.978261,1.022222,0.000119
9,232,0,127,9,0.933824,1,0.64624,1,0.35376,0.78511,0.975543,1.02507,0.000121
10,232,0,126,10,0.926471,1,0.648045,1,0.351955,0.786441,0.972826,1.027933,0.00013
11,232,0,125,11,0.919118,1,0.64986,1,0.35014,0.787776,0.970109,1.030812,0.000137
12,232,0,124,12,0.911765,1,0.651685,1,0.348315,0.789116,0.967391,1.033708,0.000143
13,232,0,123,13,0.904412,1,0.653521,1,0.346479,0.79046,0.964674,1.03662,0.00015
14,232,0,122,14,0.897059,1,0.655367,1,0.344633,0.791809,0.961957,1.039548,0.000158
15,232,0,121,15,0.889706,1,0.657224,1,0.342776,0.793162,0.959239,1.042493,0.000193
16,232,0,120,16,0.882353,1,0.659091,1,0.340909,0.794521,0.956522,1.045455,0.000197
17,232,0,119,17,0.875,1,0.660969,1,0.339031,0.795883,0.953804,1.048433,0.0002
18,232,0,118,18,0.867647,1,0.662857,1,0.337143,0.797251,0.951087,1.051429,0.000207
19,232,0,117,19,0.860294,1,0.664756,1,0.335244,0.798623,0.94837,1.054441,0.000207
20,231,1,117,19,0.860294,0.99569,0.663793,0.99569,0.336207,0.796552,0.945652,1.052913,0.000221
21,231,1,116,20,0.852941,0.99569,0.665706,0.99569,0.334294,0.797927,0.942935,1.055948,0.00023
22,231,1,115,21,0.845588,0.99569,0.66763,0.99569,0.33237,0.799308,0.940217,1.058999,0.000252
23,231,1,114,22,0.838235,0.99569,0.669565,0.99569,0.330435,0.800693,0.9375,1.062069,0.000269
24,231,1,113,23,0.830882,0.99569,0.671512,0.99569,0.328488,0.802083,0.934783,1.065156,0.000291
25,231,1,112,24,0.823529,0.99569,0.673469,0.99569,0.326531,0.803478,0.932065,1.068262,0.000293
26,231,1,111,25,0.816176,0.99569,0.675439,0.99569,0.324561,0.804878,0.929348,1.071385,0.000302
27,231,1,110,26,0.808824,0.99569,0.677419,0.99569,0.322581,0.806283,0.92663,1.074527,0.000341
28,231,1,109,27,0.801471,0.99569,0.679412,0.99569,0.320588,0.807692,0.923913,1.077688,0.000349
29,231,1,108,28,0.794118,0.99569,0.681416,0.99569,0.318584,0.809107,0.921196,1.080867,0.000438
30,231,1,107,29,0.786765,0.99569,0.683432,0.99569,0.316568,0.810526,0.918478,1.084064,0.000465
31,231,1,106,30,0.779412,0.99569,0.68546,0.99569,0.31454,0.811951,0.915761,1.087281,0.000558
32,231,1,105,31,0.772059,0.99569,0.6875,0.99569,0.3125,0.81338,0.913043,1.090517,0.00059
33,231,1,104,32,0.764706,0.99569,0.689552,0.99569,0.310448,0.814815,0.910326,1.093773,0.000608
34,231,1,103,33,0.757353,0.99569,0.691617,0.99569,0.308383,0.816254,0.907609,1.097047,0.00062
35,230,2,103,33,0.757353,0.991379,0.690691,0.991379,0.309309,0.814159,0.904891,1.095578,0.00064
36,230,2,102,34,0.75,0.991379,0.692771,0.991379,0.307229,0.815603,0.902174,1.098878,0.000738
37,230,2,101,35,0.742647,0.991379,0.694864,0.991379,0.305136,0.817052,0.899457,1.102198,0.000742
38,230,2,100,36,0.735294,0.991379,0.69697,0.991379,0.30303,0.818505,0.896739,1.105538,0.00084
39,230,2,99,37,0.727941,0.991379,0.699088,0.991379,0.300912,0.819964,0.894022,1.108898,0.000896
40,230,2,98,38,0.720588,0.991379,0.70122,0.991379,0.29878,0.821429,0.891304,1.112279,0.000901
41,229,3,98,38,0.720588,0.987069,0.700306,0.987069,0.299694,0.81932,0.888587,1.11083,0.001129
42,229,3,97,39,0.713235,0.987069,0.702454,0.987069,0.297546,0.820789,0.88587,1.114237,0.001191
43,229,3,96,40,0.705882,0.987069,0.704615,0.987069,0.295385,0.822262,0.883152,1.117666,0.001255
44,229,3,95,41,0.698529,0.987069,0.70679,0.987069,0.29321,0.823741,0.880435,1.121115,0.001395
45,229,3,94,42,0.691176,0.987069,0.708978,0.987069,0.291022,0.825225,0.877717,1.124586,0.001423
46,229,3,93,43,0.683824,0.987069,0.71118,0.987069,0.28882,0.826715,0.875,1.128079,0.00146
47,229,3,92,44,0.676471,0.987069,0.713396,0.987069,0.286604,0.82821,0.872283,1.131593,0.001559
48,229,3,91,45,0.669118,0.987069,0.715625,0.987069,0.284375,0.82971,0.869565,1.135129,0.001832
49,229,3,90,46,0.661765,0.987069,0.717868,0.987069,0.282132,0.831216,0.866848,1.138688,0.001862
50,228,4,90,46,0.661765,0.982759,0.716981,0.982759,0.283019,0.829091,0.86413,1.13728,0.001923
51,228,4,89,47,0.654412,0.982759,0.719243,0.982759,0.280757,0.830601,0.861413,1.140868,0.001977
52,228,4,88,48,0.647059,0.982759,0.721519,0.982759,0.278481,0.832117,0.858696,1.144478,0.001985
53,228,4,87,49,0.639706,0.982759,0.72381,0.982759,0.27619,0.833638,0.855978,1.148112,0.002144
54,228,4,86,50,0.632353,0.982759,0.726115,0.982759,0.273885,0.835165,0.853261,1.151768,0.002247
55,228,4,85,51,0.625,0.982759,0.728435,0.982759,0.271565,0.836697,0.850543,1.155448,0.002274
56,228,4,84,52,0.617647,0.982759,0.730769,0.982759,0.269231,0.838235,0.847826,1.159151,0.002367
57,228,4,83,53,0.610294,0.982759,0.733119,0.982759,0.266881,0.839779,0.845109,1.162878,0.002403
58,228,4,82,54,0.602941,0.982759,0.735484,0.982759,0.264516,0.841328,0.842391,1.16663,0.002426
59,228,4,81,55,0.595588,0.982759,0.737864,0.982759,0.262136,0.842884,0.839674,1.170405,0.002671
60,228,4,80,56,0.588235,0.982759,0.74026,0.982759,0.25974,0.844444,0.836957,1.174205,0.002729
61,228,4,79,57,0.580882,0.982759,0.742671,0.982759,0.257329,0.846011,0.834239,1.17803,0.002898
62,228,4,78,58,0.573529,0.982759,0.745098,0.982759,0.254902,0.847584,0.831522,1.18188,0.002945
63,228,4,77,59,0.566176,0.982759,0.747541,0.982759,0.252459,0.849162,0.828804,1.185755,0.00372
64,227,5,77,59,0.566176,0.978448,0.746711,0.978448,0.253289,0.847015,0.826087,1.184437,0.00373
65,227,5,76,60,0.558824,0.978448,0.749175,0.978448,0.250825,0.848598,0.82337,1.188346,0.00375
66,227,5,75,61,0.551471,0.978448,0.751656,0.978448,0.248344,0.850187,0.820652,1.192281,0.004345
67,227,5,74,62,0.544118,0.978448,0.754153,0.978448,0.245847,0.851782,0.817935,1.196242,0.004781
68,227,5,73,63,0.536765,0.978448,0.756667,0.978448,0.243333,0.853383,0.815217,1.20023,0.005085
69,226,6,73,63,0.536765,0.974138,0.755853,0.974138,0.244147,0.851224,0.8125,1.198939,0.00546
70,226,6,72,64,0.529412,0.974138,0.758389,0.974138,0.241611,0.85283,0.809783,1.202962,0.00566
71,226,6,71,65,0.522059,0.974138,0.760943,0.974138,0.239057,0.854442,0.807065,1.207013,0.005894
72,226,6,70,66,0.514706,0.974138,0.763514,0.974138,0.236486,0.856061,0.804348,1.21109,0.007084
73,226,6,69,67,0.507353,0.974138,0.766102,0.974138,0.233898,0.857685,0.80163,1.215196,0.007338
74,226,6,68,68,0.5,0.974138,0.768707,0.974138,0.231293,0.859316,0.798913,1.219329,0.008547
75,226,6,67,69,0.492647,0.974138,0.771331,0.974138,0.228669,0.860952,0.796196,1.223491,0.00986
76,226,6,66,70,0.485294,0.974138,0.773973,0.974138,0.226027,0.862595,0.793478,1.227681,0.010468
77,226,6,65,71,0.477941,0.974138,0.776632,0.974138,0.223368,0.864245,0.790761,1.2319,0.012258
78,225,7,65,71,0.477941,0.969828,0.775862,0.969828,0.224138,0.862069,0.788043,1.230678,0.013459
79,225,7,64,72,0.470588,0.969828,0.778547,0.969828,0.221453,0.863724,0.785326,1.234936,0.014905
80,224,8,64,72,0.470588,0.965517,0.777778,0.965517,0.222222,0.861538,0.782609,1.233716,0.015948
81,224,8,63,73,0.463235,0.965517,0.780488,0.965517,0.219512,0.863198,0.779891,1.238015,0.016615
82,223,9,63,73,0.463235,0.961207,0.77972,0.961207,0.22028,0.861004,0.777174,1.236798,0.017019
83,223,9,62,74,0.455882,0.961207,0.782456,0.961207,0.217544,0.862669,0.774457,1.241137,0.017069
84,223,9,61,75,0.448529,0.961207,0.785211,0.961207,0.214789,0.864341,0.771739,1.245508,0.017513
85,223,9,60,76,0.441176,0.961207,0.787986,0.961207,0.212014,0.866019,0.769022,1.249909,0.0182
86,223,9,59,77,0.433824,0.961207,0.79078,0.961207,0.20922,0.867704,0.766304,1.254341,0.018217
87,222,10,59,77,0.433824,0.956897,0.790036,0.956897,0.209964,0.865497,0.763587,1.25316,0.018524
88,222,10,58,78,0.426471,0.956897,0.792857,0.956897,0.207143,0.867188,0.76087,1.257635,0.0214
89,222,10,57,79,0.419118,0.956897,0.795699,0.956897,0.204301,0.868885,0.758152,1.262143,0.021888
90,221,11,57,79,0.419118,0.952586,0.794964,0.952586,0.205036,0.866667,0.755435,1.260977,0.02194
91,220,12,57,79,0.419118,0.948276,0.794224,0.948276,0.205776,0.86444,0.752717,1.259803,0.022061
92,219,13,57,79,0.419118,0.943966,0.793478,0.943966,0.206522,0.862205,0.75,1.258621,0.023135
93,219,13,56,80,0.411765,0.943966,0.796364,0.943966,0.203636,0.863905,0.747283,1.263197,0.023461
94,218,14,56,80,0.411765,0.939655,0.79562,0.939655,0.20438,0.86166,0.744565,1.262019,0.024586
95,217,15,56,80,0.411765,0.935345,0.794872,0.935345,0.205128,0.859406,0.741848,1.260831,0.02616
96,216,16,56,80,0.411765,0.931034,0.794118,0.931034,0.205882,0.857143,0.73913,1.259635,0.028889
97,216,16,55,81,0.404412,0.931034,0.797048,0.931034,0.202952,0.858847,0.736413,1.264283,0.032357
98,216,16,54,82,0.397059,0.931034,0.8,0.931034,0.2,0.860558,0.733696,1.268966,0.033984
99,216,16,53,83,0.389706,0.931034,0.802974,0.931034,0.197026,0.862275,0.730978,1.273683,0.037609
100,215,17,53,83,0.389706,0.926724,0.802239,0.926724,0.197761,0.86,0.728261,1.272517,0.041778
101,214,18,53,83,0.389706,0.922414,0.801498,0.922414,0.198502,0.857715,0.725543,1.271342,0.046058
102,214,18,52,84,0.382353,0.922414,0.804511,0.922414,0.195489,0.859438,0.722826,1.276121,0.046832
103,214,18,51,85,0.375,0.922414,0.807547,0.922414,0.192453,0.861167,0.720109,1.280937,0.047534
104,214,18,50,86,0.367647,0.922414,0.810606,0.922414,0.189394,0.862903,0.717391,1.285789,0.049747
105,214,18,49,87,0.360294,0.922414,0.813688,0.922414,0.186312,0.864646,0.714674,1.290678,0.051416
106,214,18,48,88,0.352941,0.922414,0.816794,0.922414,0.183206,0.866397,0.711957,1.295604,0.068764
107,214,18,47,89,0.345588,0.922414,0.819923,0.922414,0.180077,0.868154,0.709239,1.300568,0.074
108,213,19,47,89,0.345588,0.918103,0.819231,0.918103,0.180769,0.865854,0.706522,1.299469,0.074634
109,213,19,46,90,0.338235,0.918103,0.822394,0.918103,0.177606,0.867617,0.703804,1.304487,0.083363
110,213,19,45,91,0.330882,0.918103,0.825581,0.918103,0.174419,0.869388,0.701087,1.309543,0.101789
111,212,20,45,91,0.330882,0.913793,0.824903,0.913793,0.175097,0.867076,0.69837,1.308466,0.118389
112,212,20,44,92,0.323529,0.913793,0.828125,0.913793,0.171875,0.868852,0.695652,1.313578,0.121011
113,211,21,44,92,0.323529,0.909483,0.827451,0.909483,0.172549,0.86653,0.692935,1.312508,0.122626
114,210,22,44,92,0.323529,0.905172,0.826772,0.905172,0.173228,0.864198,0.690217,1.311431,0.126146
115,209,23,44,92,0.323529,0.900862,0.826087,0.900862,0.173913,0.861856,0.6875,1.310345,0.153568
116,208,24,44,92,0.323529,0.896552,0.825397,0.896552,0.174603,0.859504,0.684783,1.30925,0.167337
117,208,24,43,93,0.316176,0.896552,0.828685,0.896552,0.171315,0.861284,0.682065,1.314466,0.175358
118,208,24,42,94,0.308824,0.896552,0.832,0.896552,0.168,0.863071,0.679348,1.319724,0.178984
119,208,24,41,95,0.301471,0.896552,0.835341,0.896552,0.164659,0.864865,0.67663,1.325024,0.189342
120,207,25,41,95,0.301471,0.892241,0.834677,0.892241,0.165323,0.8625,0.673913,1.323971,0.193536
121,207,25,40,96,0.294118,0.892241,0.838057,0.892241,0.161943,0.864301,0.671196,1.329331,0.197428
122,206,26,40,96,0.294118,0.887931,0.837398,0.887931,0.162602,0.861925,0.668478,1.328287,0.202433
123,206,26,39,97,0.286765,0.887931,0.840816,0.887931,0.159184,0.863732,0.665761,1.333709,0.211915
124,206,26,38,98,0.279412,0.887931,0.844262,0.887931,0.155738,0.865546,0.663043,1.339175,0.229772
125,205,27,38,98,0.279412,0.883621,0.843621,0.883621,0.156379,0.863158,0.660326,1.338158,0.230423
126,205,27,37,99,0.272059,0.883621,0.847107,0.883621,0.152893,0.864979,0.657609,1.343688,0.232957
127,205,27,36,100,0.264706,0.883621,0.850622,0.883621,0.149378,0.866808,0.654891,1.349263,0.238903
128,205,27,35,101,0.257353,0.883621,0.854167,0.883621,0.145833,0.868644,0.652174,1.354885,0.251005
129,204,28,35,101,0.257353,0.87931,0.853556,0.87931,0.146444,0.866242,0.649457,1.353917,0.257345
130,203,29,35,101,0.257353,0.875,0.852941,0.875,0.147059,0.86383,0.646739,1.352941,0.264362
131,202,30,35,101,0.257353,0.87069,0.852321,0.87069,0.147679,0.861407,0.644022,1.351957,0.265043
132,201,31,35,101,0.257353,0.866379,0.851695,0.866379,0.148305,0.858974,0.641304,1.350964,0.27701
133,200,32,35,101,0.257353,0.862069,0.851064,0.862069,0.148936,0.856531,0.638587,1.349963,0.295802
134,200,32,34,102,0.25,0.862069,0.854701,0.862069,0.145299,0.858369,0.63587,1.355732,0.296311
135,199,33,34,102,0.25,0.857759,0.854077,0.857759,0.145923,0.855914,0.633152,1.354743,0.296356
136,198,34,34,102,0.25,0.853448,0.853448,0.853448,0.146552,0.853448,0.630435,1.353746,0.297426
137,197,35,34,102,0.25,0.849138,0.852814,0.849138,0.147186,0.850972,0.627717,1.352739,0.313898
138,196,36,34,102,0.25,0.844828,0.852174,0.844828,0.147826,0.848485,0.625,1.351724,0.325376
139,195,37,34,102,0.25,0.840517,0.851528,0.840517,0.148472,0.845987,0.622283,1.3507,0.326062
140,194,38,34,102,0.25,0.836207,0.850877,0.836207,0.149123,0.843478,0.619565,1.349667,0.342473
141,193,39,34,102,0.25,0.831897,0.85022,0.831897,0.14978,0.840959,0.616848,1.348625,0.351137
