@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,232,0,136,0,1,1,0.630435,1,0.369565,0.773333,1,1,0.003021
1,231,1,136,0,1,0.99569,0.629428,0.99569,0.370572,0.771285,0.997283,0.998403,0.065144
2,230,2,136,0,1,0.991379,0.628415,0.991379,0.371585,0.769231,0.994565,0.996797,0.100207
3,226,6,125,11,0.919118,0.974138,0.643875,0.974138,0.356125,0.7753,0.953804,1.021318,0.106426
4,223,9,117,19,0.860294,0.961207,0.655882,0.961207,0.344118,0.77972,0.923913,1.040365,0.117609
5,221,11,107,29,0.786765,0.952586,0.67378,0.952586,0.32622,0.789286,0.891304,1.068755,0.119933
6,219,13,95,41,0.698529,0.943966,0.697452,0.943966,0.302548,0.802198,0.853261,1.106304,0.124136
7,218,14,87,49,0.639706,0.939655,0.714754,0.939655,0.285246,0.811918,0.828804,1.133748,0.1251
8,217,15,76,60,0.558824,0.935345,0.740614,0.935345,0.259386,0.826667,0.796196,1.174768,0.131477
9,217,15,69,67,0.507353,0.935345,0.758741,0.935345,0.241259,0.837838,0.777174,1.203521,0.132628
10,217,15,59,77,0.433824,0.935345,0.786232,0.935345,0.213768,0.854331,0.75,1.247126,0.133977
11,217,15,50,86,0.367647,0.935345,0.812734,0.935345,0.187266,0.869739,0.725543,1.289164,0.136562
12,217,15,39,97,0.286765,0.935345,0.847656,0.935345,0.152344,0.889344,0.695652,1.344558,0.529204
13,216,16,39,97,0.286765,0.931034,0.847059,0.931034,0.152941,0.887064,0.692935,1.343611,0.532572
14,215,17,39,97,0.286765,0.926724,0.846457,0.926724,0.153543,0.884774,0.690217,1.342655,0.543668
15,215,17,38,98,0.279412,0.926724,0.849802,0.926724,0.150198,0.886598,0.6875,1.347962,0.602417
16,214,18,38,98,0.279412,0.922414,0.849206,0.922414,0.150794,0.884298,0.684783,1.347017,0.612286
17,213,19,38,98,0.279412,0.918103,0.848606,0.918103,0.151394,0.881988,0.682065,1.346064,0.628399
18,212,20,38,98,0.279412,0.913793,0.848,0.913793,0.152,0.879668,0.679348,1.345103,0.668681
19,208,24,38,98,0.279412,0.896552,0.845528,0.896552,0.154472,0.870293,0.668478,1.341183,0.682779
20,207,25,38,98,0.279412,0.892241,0.844898,0.892241,0.155102,0.867925,0.665761,1.340183,0.683741
21,206,26,38,98,0.279412,0.887931,0.844262,0.887931,0.155738,0.865546,0.663043,1.339175,0.686119
22,203,29,37,99,0.272059,0.875,0.845833,0.875,0.154167,0.860169,0.652174,1.341667,0.700906
23,201,31,36,100,0.264706,0.866379,0.848101,0.866379,0.151899,0.857143,0.644022,1.345264,0.701813
24,199,33,35,101,0.257353,0.857759,0.850427,0.857759,0.149573,0.854077,0.63587,1.348954,0.707659
25,198,34,34,102,0.25,0.853448,0.853448,0.853448,0.146552,0.853448,0.630435,1.353746,0.723901
26,195,37,32,104,0.235294,0.840517,0.859031,0.840517,0.140969,0.849673,0.616848,1.362601,0.73494
27,193,39,30,106,0.220588,0.831897,0.865471,0.831897,0.134529,0.848352,0.605978,1.372816,0.751511
28,192,40,28,108,0.205882,0.827586,0.872727,0.827586,0.127273,0.849558,0.597826,1.384326,0.87257
29,174,58,27,109,0.198529,0.75,0.865672,0.75,0.134328,0.803695,0.546196,1.373134,0.8745
30,159,73,26,110,0.191176,0.685345,0.859459,0.685345,0.140541,0.76259,0.502717,1.363281,0.874725
31,138,94,24,112,0.176471,0.594828,0.851852,0.594828,0.148148,0.700508,0.440217,1.351213,0.875378
32,118,114,22,114,0.161765,0.508621,0.842857,0.508621,0.157143,0.634409,0.380435,1.336946,0.878291
33,102,130,20,116,0.147059,0.439655,0.836066,0.439655,0.163934,0.576271,0.331522,1.326173,0.880932
34,83,149,17,119,0.125,0.357759,0.83,0.357759,0.17,0.5,0.271739,1.316552,0.881547
35,65,167,14,122,0.102941,0.280172,0.822785,0.280172,0.177215,0.418006,0.214674,1.305107,0.883352
36,63,169,12,124,0.088235,0.271552,0.84,0.271552,0.16,0.410423,0.203804,1.332414,0.884299
37,42,190,8,128,0.058824,0.181034,0.84,0.181034,0.16,0.297872,0.13587,1.332414,0.884301
38,21,211,4,132,0.029412,0.090517,0.84,0.090517,0.16,0.163424,0.067935,1.332414,0.885513
39,2,230,0,136,0,0.008621,1,0.008621,0,0.017094,0.005435,1.586207,1
40,0,232,0,136,0,0,0,0,0,0,0,?,1.00001
